asset,baseline,ML,performance
GOOGL,-686.05,-541.26,144.78999999999996
GOOG,-685.47,-532.91,152.56000000000006
MRNA,-42.47,-232.73,-190.26
TEAM,-196.56,-192.27,4.289999999999992
CHTR,-128.22,-165.23,-37.00999999999999
NFLX,-157.7,-111.35,46.349999999999994
IDXX,-158.68,-92.27,66.41000000000001
FB,-51.44,-78.37,-26.930000000000007
COST,-142.92,-63.69,79.22999999999999
DXCM,-71.69,-55.1,16.589999999999996
ISRG,-95.3,-40.51,54.79
PDD,0.0,-39.24,-39.24
XLNX,-60.91,-33.23,27.68
VRTX,-16.19,-30.17,-13.98
INTU,-185.09,-29.33,155.76
TMUS,-17.41,-26.74,-9.329999999999998
ASML,1.84,-24.07,-25.91
ILMN,-26.52,-23.13,3.3900000000000006
REGN,64.55,-22.79,-87.34
ATVI,-17.19,-21.85,-4.66
CPRT,-31.13,-20.01,11.119999999999997
MAR,-18.35,-10.86,7.490000000000002
NVDA,-155.38,-9.13,146.25
CTSH,-1.11,-8.78,-7.669999999999999
AMGN,-3.62,-8.58,-4.96
AMD,-59.88,-7.95,51.93
CERN,3.73,-6.85,-10.58
EA,-2.26,-6.74,-4.48
TCOM,-3.99,-6.57,-2.58
XEL,-0.88,-6.56,-5.68
TSLA,-344.96,-6.08,338.88
CSCO,-7.79,-5.44,2.3499999999999996
MDLZ,-4.27,-3.89,0.37999999999999945
INTC,-5.24,-3.88,1.3600000000000003
MSFT,-81.92,-2.62,79.3
BIDU,-6.24,-2.48,3.7600000000000002
KHC,-1.96,-2.24,-0.28000000000000025
MU,8.83,-1.54,-10.370000000000001
WBA,4.02,-1.11,-5.13
CMCSA,4.04,-0.98,-5.02
NTES,10.98,-0.8,-11.780000000000001
MNST,0.28,-0.46,-0.74
INCY,-14.39,0.0,14.39
ROST,0.0,0.0,0.0
TXN,0.0,0.0,0.0
,0.0,0.0,0.0
PYPL,32.99,0.21,-32.78
KDP,0.0,0.5,0.5
FOX,-1.87,0.6,2.47
PCAR,8.87,0.91,-7.959999999999999
DOCU,-13.89,1.45,15.34
CHKP,-2.15,1.5,3.65
PEP,-25.64,1.74,27.38
SIRI,0.0,2.1,2.1
FOXA,-2.42,2.95,5.37
SNPS,42.98,2.95,-40.029999999999994
CSX,4.39,3.1,-1.2899999999999996
SPLK,-4.98,5.67,10.65
VRSN,20.4,6.28,-14.119999999999997
PAYX,-8.95,6.85,15.799999999999999
JD,14.05,10.66,-3.3900000000000006
GILD,0.0,10.97,10.97
ADP,-42.3,11.37,53.669999999999995
FAST,-9.26,12.14,21.4
PTON,45.53,12.39,-33.14
SBUX,4.2,13.01,8.809999999999999
EXC,-10.26,13.2,23.46
AEP,-0.04,13.55,13.59
MCHP,7.75,13.59,5.84
DLTR,11.96,15.39,3.4299999999999997
EBAY,-13.74,15.73,29.47
HON,3.99,17.21,13.22
MRVL,-19.57,17.45,37.019999999999996
ADI,0.0,19.34,19.34
ORLY,-168.55,20.26,188.81
QCOM,11.52,21.67,10.150000000000002
CDW,-20.38,21.7,42.08
AAPL,-20.15,23.0,43.15
SWKS,15.81,23.78,7.970000000000001
MTCH,47.73,24.47,-23.259999999999998
FISV,36.63,26.8,-9.830000000000002
VRSK,-27.57,29.25,56.82
AMAT,-15.37,38.35,53.72
CDNS,-39.97,45.86,85.83
CTAS,-65.53,51.45,116.98
BIIB,54.86,55.1,0.240000000000002
ALGN,125.46,55.66,-69.8
LULU,-111.63,61.98,173.60999999999999
ZM,63.49,62.26,-1.230000000000004
OKTA,0.0,66.91,66.91
WDAY,22.06,69.57,47.50999999999999
SGEN,-27.29,71.14,98.43
ANSS,23.18,86.56,63.38
NXPI,0.0,97.64,97.64
AVGO,-51.91,108.4,160.31
ADSK,86.38,127.94,41.56
BKNG,607.14,130.25,-476.89
ADBE,15.14,141.63,126.49
CRWD,0.0,160.97,160.97
MELI,57.7,167.5,109.8
LRCX,35.89,168.93,133.04000000000002
KLAC,-64.46,169.9,234.36
AMZN,166.47,645.6,479.13
